epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8608,1.45261,2.61921,1.74687,0.00084,0.05974,0.00049,0.0001,4.03368,inf,20.5943,0.0705085,0.00327684,0.00327684
2,31.3694,1.63494,2.28101,1.86475,0.34004,0.01761,0.00369,0.00075,3.68077,17.4243,7.00624,0.040443,0.00654473,0.00654473
3,45.7365,1.59521,2.16851,1.80022,0.89574,0.02975,0.00626,0.00206,2.49758,5.24122,3.45276,0.0103116,0.00974662,0.00974662
4,60.1691,1.52062,2.04415,1.7452,0.91149,0.04129,0.02369,0.00834,2.52856,3.43659,3.73238,0.009703,0.009703,0.009703
5,74.5164,1.48991,1.99419,1.69322,0.9578,0.0674,0.09797,0.04668,1.65689,2.53724,2.15509,0.009604,0.009604,0.009604
6,88.8277,1.40822,1.86346,1.64338,0.95679,0.07043,0.09128,0.04215,1.76221,2.05578,2.24047,0.009505,0.009505,0.009505
7,103.185,1.41831,1.88626,1.64175,0.92646,0.05647,0.07441,0.03308,1.93571,2.52689,2.46054,0.009406,0.009406,0.009406
8,117.501,1.32514,1.76969,1.58033,0.95705,0.05647,0.0777,0.03548,2.10868,2.53155,2.4805,0.009307,0.009307,0.009307
9,131.876,1.32501,1.75287,1.56496,0.96028,0.08682,0.11568,0.06699,1.56391,1.89382,2.09234,0.009208,0.009208,0.009208
10,146.304,1.30069,1.6649,1.5539,0.94184,0.06254,0.08857,0.04448,1.72168,2.46913,2.23482,0.009109,0.009109,0.009109
11,160.662,1.25553,1.61557,1.52242,0.62122,0.12336,0.14171,0.06805,1.70978,1.90814,2.16503,0.00901,0.00901,0.00901
12,175.161,1.28101,1.58565,1.53064,0.62585,0.14428,0.17522,0.09864,1.38202,1.59394,1.80729,0.008911,0.008911,0.008911
13,189.57,1.26314,1.6075,1.51046,0.58859,0.14483,0.1745,0.11329,1.38963,1.46961,1.85258,0.008812,0.008812,0.008812
14,204.101,1.22156,1.50835,1.47998,0.42989,0.25877,0.15916,0.09675,1.3113,1.52212,1.72862,0.008713,0.008713,0.008713
15,218.911,1.20657,1.48155,1.45664,0.35939,0.16818,0.21152,0.12565,1.29053,1.58441,1.70758,0.008614,0.008614,0.008614
16,233.769,1.19124,1.4904,1.45999,0.63378,0.19182,0.16936,0.09282,1.42173,1.71381,1.83512,0.008515,0.008515,0.008515
17,248.561,1.16295,1.42709,1.44117,0.67419,0.14908,0.17138,0.10064,1.48939,1.94846,1.91578,0.008416,0.008416,0.008416
18,263.276,1.18823,1.39665,1.45603,0.67363,0.19893,0.18305,0.11221,1.42266,1.48908,1.84796,0.008317,0.008317,0.008317
19,278.012,1.1471,1.40512,1.42299,0.64795,0.19877,0.24089,0.15634,1.3193,1.49794,1.78831,0.008218,0.008218,0.008218
20,292.561,1.13368,1.36453,1.41881,0.55308,0.26355,0.28381,0.18534,1.23907,1.41956,1.65892,0.008119,0.008119,0.008119
21,307.03,1.11934,1.35763,1.40655,0.29018,0.34319,0.19434,0.13114,1.42114,1.80088,1.99226,0.00802,0.00802,0.00802
22,321.529,1.12725,1.40077,1.42075,0.80614,0.17149,0.22587,0.14986,1.34566,1.51928,1.80493,0.007921,0.007921,0.007921
23,336.045,1.10239,1.30626,1.40241,0.66463,0.20906,0.27419,0.16717,1.29769,1.35106,1.69813,0.007822,0.007822,0.007822
24,350.59,1.11667,1.28866,1.40677,0.31778,0.33901,0.26913,0.17224,1.18144,1.27431,1.56703,0.007723,0.007723,0.007723
25,365.053,1.07241,1.27582,1.38739,0.26814,0.2441,0.23428,0.14954,1.38092,1.38934,1.79342,0.007624,0.007624,0.007624
26,379.537,1.07721,1.28144,1.36248,0.58418,0.31352,0.27949,0.19288,1.14309,1.19079,1.57148,0.007525,0.007525,0.007525
27,394.084,1.06004,1.22456,1.35744,0.42387,0.28259,0.30237,0.20615,1.16103,1.27299,1.61556,0.007426,0.007426,0.007426
28,408.756,1.08204,1.24633,1.37223,0.59523,0.27712,0.37135,0.23395,1.21404,1.20558,1.60928,0.007327,0.007327,0.007327
29,423.25,1.03085,1.19684,1.33089,0.37265,0.29291,0.27377,0.17429,1.24865,1.30596,1.66582,0.007228,0.007228,0.007228
